국민주택
주택도시기금
환급이행사업장
미분양관리지역
미분양주택
유입물건
분양보증 예비심사
신용평가
승계시공비
분양이행비용
환급이행
보증채무이행
보증의 해지
보증의 취소
사업주체
주택사업
주택
공동주택
관리주체
부대시설
복리시설
간설시설
주택조합
아파트
연립주택
공급
민간건설 중형국민주택
민영주택
주택건설지역
세대주
무주택세대주
주택공급면적
시공권이 있는 등록업자
청약저축
청약예금
주거환경개선사업
주택재개발사업
주택재건축사업
도시환경정비사업
임대주택
건설임대주택
매입임대주택
장기전세주택
분양전환
임대사업자
대수선
리모델링
공사감리자
도시계획
지구단위계획
용도지역
용도지구
기반시설부담구역
기반시설설치비용
개별공시지가
기부채납
용적률
건폐율
청약부금
주택청약종합저축
도시형생활주택
준주택
분양이행
가등기
가압류
가처분
갱신
경매
계약금
계약면적
공급면적
공매
구상권
근저당
근저당권
금리
납부
다가구주택
다세대주택
담보
대위변제
대출
도급
등기
변경등기
보증금
보증료
부기등기
분양
변제
선순위채권
소유권이전등기
신탁
원리금
위약금
융자
임대인
임대차
임차권
임차인
잔금
전세
전세권
전세권 설정등기
전용면적
전입신고
중도금
차주
특약
해약금
해제
해지
확정일자
환매
